merchant_id,domain,feed_url,feed_type,item_count,validated_at,last_http_status,sample_item_url,sample_item_title,validation_error
000swiftcart.shop,000swiftcart.shop,https://000swiftcart.shop/collections/all.atom,atom,25,2026-08-28T16:45:57.573621+00:00,200,https://000swiftcart.shop/products/all-in-one-fabric-stain-remover,All in One Fabric Stain Remover (Buy 1 Get 1 Free),
000d3a21-48b4-5ad6-962e-fbfaaf3e24d388559a70,sterlingmusic.in,https://sterlingmusic.in/collections/all.atom,atom,25,2026-08-28T16:45:57.583361+00:00,200,https://sterlingmusic.in/products/daddario-pws107-polypro-guitar-strap-green,D Addario PWS107 PolyPro Guitar Strap - Green,
00144133-8f5e-5200-8fcc-5b94c6efefde2671029d,herbalcure.online,https://herbalcure.online/collections/all.atom,atom,5,2026-08-28T16:45:57.662572+00:00,200,https://herbalcure.online/products/combo-of-piles-free-pro-capsule-and-powder,Combo of Piles free Pro Capsule and Powder,
0000studios.com,0000studios.com,https://0000studios.com/collections/all.atom,atom,25,2026-08-28T16:45:57.671273+00:00,200,https://0000studios.com/products/hooligan-patch-set,Hooligan Patch Set,
000c2a6e-cbee-50d1-b542-9184400ed1f6e73ba3a9,cavinkart.com,https://cavinkart.com/collections/all.atom,atom,25,2026-08-28T16:45:57.921147+00:00,200,https://cavinkart.com/products/ruchi-magic-garlic-pickle-300-gm,"Ruchi Magic Garlic Pickle, 300 gm",
0011539d-fd34-5847-a51c-1e3bc0a3e84c21422bb2,nyra-s-art-interior-boutique.myshopify.com,https://nyra-s-art-interior-boutique.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:58.171040+00:00,200,https://nvdclifestyle.ca/products/abstract-flower-pot,Candle Holder,
000cebd4-4c8c-52cc-92af-478faf990d0bf4ed2c96,d33708-2.myshopify.com,https://d33708-2.myshopify.com/collections/all.atom,atom,11,2026-08-28T16:45:58.253270+00:00,200,https://d33708-2.myshopify.com/products/unisex-hoodie,Unisex hoodie,
0000art.com,0000art.com,https://0000art.com/collections/all.atom,atom,25,2026-08-28T16:45:58.268173+00:00,200,https://www.0000art.com/products/men-s-nike-tech-fleece-sweatsuit-sportswear-tracksuit,Men’s Nike Tech Fleece Sweatsuit Sportswear Tracksuit,
00023f7f-a05e-5e97-ad07-c0aa0fcc2dbab336a4fd,lalo-alcaraz-art-shop.myshopify.com,https://lalo-alcaraz-art-shop.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:58.277842+00:00,200,https://lalo-alcaraz-art-shop.myshopify.com/products/melt-ice-matte-vertical-art-print-by-lalo-alcaraz,"""MELT ICE"" Matte Vertical Art Print by Lalo Alcaraz",
000de8-2.myshopify.com,000de8-2.myshopify.com,https://000de8-2.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:58.323367+00:00,200,https://000de8-2.myshopify.com/products/london-long-dress,London long dress,
0013b495-20e4-505c-a359-c82e1acaeb44c6c62e40,stand-up-records.myshopify.com,https://stand-up-records.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:58.338149+00:00,200,https://standuprecords.com/products/jimmy-shubert-clown-shoes-download,Jimmy Shubert - Clown Shoes (download),
0001a40b-83ba-55e4-9342-8e49d7bcfd4e9669694f,libertyflags-com.myshopify.com,https://libertyflags-com.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:58.357387+00:00,200,https://libertyflags.com/products/marine-corps-polyester-outdoor-flags,Marine Corps Polyester Outdoor Flags,
0009b2c5-fc36-52e6-a7c2-93516168d53c5d12b037,93f3ad-b4.myshopify.com,https://93f3ad-b4.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:58.416896+00:00,200,https://spcraftypartyfavors.com/products/custom-beer-bottle-can-labels-personalized-beer-labels-by-the-dozen,Custom Beer Bottle & Can Labels | Personalized Beer Labels by the Dozen,
000a8869-0464-58df-82d0-a743c0a1874fc0fa7e1b,tm-shopify039-computers.myshopify.com,https://tm-shopify039-computers.myshopify.com/collections/all.atom,atom,18,2026-08-28T16:45:58.443627+00:00,200,https://tm-shopify039-computers.myshopify.com/products/intel-pentium-dual-core-processor,Intel Pentium Dual-Core Processor,
0010a86a-b6f6-566d-8200-a53c1c62828dd2729363,shirtstop.us,https://shirtstop.us/collections/all.atom,atom,25,2026-08-28T16:45:58.450270+00:00,200,https://www.shirtstop.us/products/keshet-girls-plaid-hair-clip-2-pack-cl2652,Keshet Girls Plaid Hair Clip 2 Pack - CL2652,
00044cea-b6f4-5df4-b042-d8d8379798e11b25b3b5,team-systems-equip2go.myshopify.com,https://team-systems-equip2go.myshopify.com/collections/all.atom,atom,14,2026-08-28T16:45:58.485080+00:00,200,https://teamsystems.net.au/products/60kg-rated-folding-shopping-trolley-with-bag,60kg Rated Folding Shopping Trolley with Bag,
001428ee-22fb-5685-b0b4-0bd8c4186389459ab004,nail-hoot.myshopify.com,https://nail-hoot.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:58.547582+00:00,200,https://nailhoot.com/products/coozie,Coozie,
000-media.myshopify.com,000-media.myshopify.com,https://000-media.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:58.579800+00:00,200,https://000magazine.com/products/2020-s-collection,2020 Collection (013-016) + Slipcase,
00139e7c-0e27-5e3c-8dac-23af0b704748b6b49e5e,astra-9367.myshopify.com,https://astra-9367.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:58.639079+00:00,200,https://celesteastra.com/products/radiant-halo-pink-high-carbon-diamond-sterling-silver-ring-r76,Radiant Halo Pink High Carbon Diamond Sterling Silver Ring-R76,
0001adff-e2c4-5652-a9e7-5eb88d0c8dfd9409a302,458dc8-2.myshopify.com,https://458dc8-2.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:58.692542+00:00,200,https://www.cressi.com.br/products/pelicula-antiembacante-mascara-mergulho-1-lente-920029981,Película Anti-Fog Cetus Clear Vision 1 Lente,
001386cc-49c1-5ef0-9ff5-c1a5141075bdcc47d38b,serendipity-trove.myshopify.com,https://serendipity-trove.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:58.729465+00:00,200,https://www.serendipitytrove.com/products/santas-delight-cookie-platters,"""Santa's Delight"" - Cookie platters",
000516b7-9de1-52c6-bbad-caceed2af7cf684fa94c,bldonline.myshopify.com,https://bldonline.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:58.738710+00:00,200,https://brassliondistillery.com/products/rangu,Rangu,
0010d27a-9491-51ae-b084-b19c3d25bd5f397cfe90,triplestudio.myshopify.com,https://triplestudio.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:58.980884+00:00,200,https://www.triplestudio.com/products/puffin-bird-art-print,Puffin Bird Art Print,
0003f3-c4.myshopify.com,0003f3-c4.myshopify.com,https://0003f3-c4.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:59.029653+00:00,200,https://www.badgcustoms.com/products/triumph-speed-twin-1200-cafe-racer-edition-saddlebags-tcr01-set-of-2,Triumph Speed Twin 1200 Cafe Racer Edition Saddlebags - TCR01 (Set of 2),
0012e11e-9fe9-571f-b954-9a86d514128c71422281,jackhafford.com,https://jackhafford.com/collections/all.atom,atom,25,2026-08-28T16:45:59.070780+00:00,200,https://jackhafford.com/products/drakos-croc-embossed-ankle-boots,Drakos Croc-Embossed Ankle Boots,
0000williamjames.com,0000williamjames.com,https://0000williamjames.com/collections/all.atom,atom,25,2026-08-28T16:45:59.137674+00:00,200,https://0000williamjames.com/products/uniform-camel-wool-shorts,"""UNIFORM"" CAMEL WOOL SHORTS",
0011b56f-094a-50b4-a6c0-a2a3bb46ddbbfbe3532d,essaimons.myshopify.com,https://essaimons.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:59.259220+00:00,200,https://essaimons.myshopify.com/products/boite-longue,Boîte longue en matière PLAXTIL,
00173698-1de8-58b7-a9d4-8f06bc247bf287359c0f,kosamo.myshopify.com,https://kosamo.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:59.354761+00:00,200,https://kosamo.com/products/ongi-chest-ritual-oil,Ongi Chest Ritual Oil,
00135fa5-ed38-5d2e-a0cc-7005fa4bfe888526ca15,sports-cartel-online.myshopify.com,https://sports-cartel-online.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:59.560858+00:00,200,https://www.sports-cartel.com/products/sc-portugal-tshirt,SC Portugal Tshirt,
001d72a8-05db-5f73-8b64-af00dda073862f2ca70d,mithrascollection.myshopify.com,https://mithrascollection.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:59.713993+00:00,200,https://www.mithrascollection.com/products/0061-vibrant-zinnia,Zinnia Watercolor – Vibrant Floral Botanical Art,
0020dda3-a2bf-520a-9f14-7a64a8d770b54d55713a,mirror-and-hammer-films.myshopify.com,https://mirror-and-hammer-films.myshopify.com/collections/all.atom,atom,2,2026-08-28T16:45:59.715440+00:00,200,https://mirror-and-hammer-films.myshopify.com/products/the-shape-of-water-dvd,The Shape of Water DVD,
002f5d30-015a-5153-9ec5-0db246f922ee3b99bcca,izelapparel.com,https://izelapparel.com/collections/all.atom,atom,25,2026-08-28T16:45:59.738701+00:00,200,https://izelapparel.com/products/nayel,NAYEL,
002447d6-f1b0-508d-a89b-123f1f8662c395ae6d02,atc-button-animation-demo.myshopify.com,https://atc-button-animation-demo.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:59.764158+00:00,200,https://atc-button-animation-demo.myshopify.com/products/bata-womens-slip-on-sandal,Bata Women's Slip-on Sandal,
00157523-f44f-5d4e-a5e5-f13650369898d9b747d9,toolsteal.myshopify.com,https://toolsteal.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:59.784348+00:00,200,https://rafsupply.com/products/milwaukee-2831-20-m18-fuel-6-1-2-in-plunge-track-saw-new,"Milwaukee 2831-20 M18 FUEL 6-1/2 in. Plunge Track Saw, New",
001477f6-fb20-5087-92df-c76de414379be30f41fa,nazarethdepinte.myshopify.com,https://nazarethdepinte.myshopify.com/collections/all.atom,atom,24,2026-08-28T16:45:59.788908+00:00,200,https://nazarethdepinte.myshopify.com/products/t-kinderkasteeltje,'t Kinderkasteeltje,
00062779-634d-5871-8a1e-e9b1081f0d936a3b0da2,polargas.myshopify.com,https://polargas.myshopify.com/collections/all.atom,atom,9,2026-08-28T16:45:59.815545+00:00,200,https://polar-gas.com/products/leaker-sealer-solution-with-hose,Leak Sealer Solutions with Hose,
000f47be-64b9-573a-9d3c-0a613224ccca8e7980a1,thewonkyfoodco.myshopify.com,https://thewonkyfoodco.myshopify.com/collections/all.atom,atom,4,2026-08-28T16:45:59.839782+00:00,200,https://wonkyfoodco.com/products/sweet-tomato-relish,Sweet Tomato Relish,
001.qwirkygear.com,001.qwirkygear.com,https://001.qwirkygear.com/collections/all.atom,atom,25,2026-08-28T16:45:59.851365+00:00,200,https://001.qwirkygear.com/products/bulldog-gold-t-shirt-authentic-grade-a-plus-eugenia-hamilton-elementary-alumni-bulldogs-mom-design,Bulldog Gold T-shirt - Authentic Grade A Plus Eugenia Hamilton Elementary Alumni Bulldogs Mom Design,
002746d2-f054-52a4-8c28-db695336ae003f078f41,protein-essentials.myshopify.com,https://protein-essentials.myshopify.com/collections/all.atom,atom,7,2026-08-28T16:45:59.888580+00:00,200,https://proteinessentials.com/products/chicken-instabroth-just-like-bone-broth,"InstaBroth®, Chicken",
002f72cf-41a5-507c-b3d5-c64f73049321076decf5,playtech.co.nz,https://playtech.co.nz/collections/all.atom,atom,25,2026-08-28T16:45:59.901439+00:00,200,https://playtech.co.nz/products/the-fairway-ultra,The Fairway Ultra,
002e3300-57fd-58ec-95aa-ae5145d8bc30dea985e8,wbbarber.com,https://wbbarber.com/collections/all.atom,atom,25,2026-08-28T16:45:59.922253+00:00,200,https://wbbarber.com/products/oster-classic-76-blade-guide,Oster Classic 76 Blade Guide,
0002b0-2.myshopify.com,0002b0-2.myshopify.com,https://0002b0-2.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:45:59.993253+00:00,200,https://shop.reidys.com/products/paxman-studenti-compensating-french-horn,Paxman Studenti compensating French Horn,
002b14f8-9f9d-5604-a7f4-a25eb8eabaf2f5da9c3d,deardahlia-tw.myshopify.com,https://deardahlia-tw.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:00.018949+00:00,200,https://deardahlia-tw.myshopify.com/products/skin-conditioning-lip-eye-remover,【5折】淨膚溫和眼唇卸妝水,
002db0c7-82cb-50e3-a3e8-90e19f78c1e77098b8a0,porto-demo25.myshopify.com,https://porto-demo25.myshopify.com/collections/all.atom,atom,11,2026-08-28T16:46:00.045849+00:00,200,https://porto-demo25.myshopify.com/products/the-night-before,The Night Before,
001b51d8-e8be-5b44-9b60-742f999e8dd62ed51caf,tdg-jewelers.myshopify.com,https://tdg-jewelers.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:00.061045+00:00,200,https://www.thediamondguys.com/products/3-10-carat-round-lab-grown-diamond,3.10 Carat Round Lab Grown Diamond,
001fa697-8660-5505-b77b-5db703342a2e79cfb8b1,jpnft.myshopify.com,https://jpnft.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:00.174642+00:00,200,https://jpnfishingtackle.com/products/4140_bnew,CUTBALL SQueeZE [Brand New],
00094233-8ba0-5f5b-bd13-05e86fe4acd04e97411d,drink-high-water.myshopify.com,https://drink-high-water.myshopify.com/collections/all.atom,atom,9,2026-08-28T16:46:00.206275+00:00,200,https://www.drinkhighwater.com/products/mango-and-peach-12-x-250ml-trade,Mango and Peach - 12 x 250ml (Trade),
002.pickleballglobe.com,002.pickleballglobe.com,https://002.pickleballglobe.com/collections/all.atom,atom,25,2026-08-28T16:46:00.246883+00:00,200,https://002.pickleballglobe.com/products/american-gothic-pickleball-shirt,American Gothic Pickleball Shirt,
00243ddd-f218-50de-a9a1-93ffa5f036517abc8360,thinking-kids-press.myshopify.com,https://thinking-kids-press.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:00.345982+00:00,200,https://thinkingkidspress.com/products/family-bible-study-bundle-the-kings-armor-help-your-kids-learn-and-love-the-bible,Family Bible Study Bundle: The King's Armor & Help Your Kids Learn and Love the Bible,
002941c1-9ce4-5186-abf1-8e5afe9f6d44b841d58f,ingredients-ldn.myshopify.com,https://ingredients-ldn.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:00.368337+00:00,200,https://www.elleihome.com/products/vintage-tiny-salt-and-pepper-shakers,Antique Tiny Salt and Pepper Shakers,
002a2b-2.myshopify.com,002a2b-2.myshopify.com,https://002a2b-2.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:00.445832+00:00,200,https://shop.arashiyama-grandmarche.jp/products/organic-dried-yomogi,乾燥よもぎ３個セット（よもぎ茶・よもぎ風呂用）,
0032e3be-61c9-5449-8be5-5b64e3400c0669375232,mightymeeple.com,https://mightymeeple.com/collections/all.atom,atom,25,2026-08-28T16:46:00.488537+00:00,200,https://mightymeeple.com/products/bolg-erebors-reckoning-extended-art-the-hobbit-eternal-legal,"Bolg, Erebor's Reckoning (Extended Art) [The Hobbit: Eternal-Legal]",
003d42d0-ae3c-5f21-9885-9b64d5cec3d81cd43b0d,paperwallet.com,https://paperwallet.com/collections/all.atom,atom,25,2026-08-28T16:46:00.535068+00:00,200,https://paperwallet.com/products/wayfarer,Wayfarer,
001r3i-v0.myshopify.com,001r3i-v0.myshopify.com,https://001r3i-v0.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:00.629962+00:00,200,https://tctrailers.ca/products/aluminum-deck-over-trailer-20-foot-5-ton,Aluminum Deck Over Trailer 20 foot 5 ton,
0030c015-21cb-5312-b3ee-8e7f08e366168ef170e3,oldpathsnaturalmarket.myshopify.com,https://oldpathsnaturalmarket.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:00.666937+00:00,200,https://oldpathsnaturalmarket.myshopify.com/products/piggy-paint-glamour-girl-nail-polish,Piggy Paint Glamour Girl Nail Polish,
001london.co.uk,001london.co.uk,https://001london.co.uk/collections/all.atom,atom,25,2026-08-28T16:46:00.713695+00:00,200,https://www.001london.co.uk/products/abdominal-regulation-express,Abdominal (Zhong Jiao) Regulation Express,
00186be1-64e3-5a9f-87e7-7f3e40191bf415443664,4wdc-emrx.myshopify.com,https://4wdc-emrx.myshopify.com/collections/all.atom,atom,2,2026-08-28T16:46:00.770296+00:00,200,https://myvitalstate.com/products/starter-kit,STARTER KIT,
002dfadb-9e66-53c8-abf2-ed5af951c56889e62558,mastermassage.myshopify.com,https://mastermassage.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:00.820655+00:00,200,https://www.mastermassage.com/products/replacement-apollo-carrying-case-for-nathan,Replacement Apollo Carrying Case for Nathan,
00169f06-58a7-5047-ad67-aaf05a971494297bf13f,learningmedia.myshopify.com,https://learningmedia.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:00.828430+00:00,200,https://learningmedia.bpp.com/products/professional-accounting-technician-role-scenario,Professional Accounting Technician Role Scenario,
0038efa8-2a16-5b4b-ad67-d8b117fb8076399fe138,nsscstore.myshopify.com,https://nsscstore.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:01.015861+00:00,200,https://nsscstore.myshopify.com/products/foam-trucker-hat-1,Sideline Social Club Black Trucker Hat,
003574a0-d298-508b-b907-251ba2c5ef18ce275a4e,vivio-lighting.myshopify.com,https://vivio-lighting.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:01.093518+00:00,200,https://www.viviolighting.com/products/5-blade-52-dc-motor-fan-nk-silver-walnut-blades-3k-4k-5k-dual-mount,"5-Blade 52"" DC Motor Fan NK-Silver/Walnut Blades 3K, 4K, 5K Dual Mount",
0033d033-92c7-5829-bdb8-c2ca220f4b1fcf81b7a3,ohh-my-glo.myshopify.com,https://ohh-my-glo.myshopify.com/collections/all.atom,atom,20,2026-08-28T16:46:01.166209+00:00,200,https://www.ohhmyglo.com/products/free-monster-gift_-100,Face Tan Water Gift,
001d9d28-bbf0-57cf-9f6d-2ccd52e76c5cf05aea44,2252d7.myshopify.com,https://2252d7.myshopify.com/collections/all.atom,atom,25,2026-08-28T16:46:01.252825+00:00,200,https://dpkey.net/products/nintendo-switch-v2-guida-completa-2026-italiano-pdf,Nintendo Switch V2 - Guida Completa 2026 in Italiano PDF,
004connec.com,004connec.com,https://004connec.com/collections/all.atom,atom,25,2026-08-28T16:46:01.321122+00:00,200,https://004connec.com/products/evolve-fat-cap,EVOLVE Fat Cap,
004e99a3-1343-50b5-ab75-f3c0dc7d89027472f9ca,jafperfumes.com,https://jafperfumes.com/collections/all.atom,atom,14,2026-08-28T16:46:01.545219+00:00,200,https://jafperfumes.com/products/jaf-bundle-angelica-laceda-50ml,JAF Bundle – Angelica & Laceda 50ml,
