[2026-06-19T12:35:53Z] starting apply=1 data_dir=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data keep_carousell=1 keep_monitor_dirs=2
[2026-06-19T12:35:53Z] carousell-snapshots total=1 keep=1
[2026-06-19T12:35:53Z] disk-monitor-dirs total=16 keep=2
[2026-06-19T12:35:53Z] deleted kind=disk-monitor-dir kb=20 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/buy-48198-disk-monitor-2026-06-19T112515Z
[2026-06-19T12:35:53Z] deleted kind=disk-monitor-dir kb=20 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/buy-48198-disk-monitor-2026-06-19T113015Z
[2026-06-19T12:35:53Z] deleted kind=disk-monitor-dir kb=20 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/buy-48198-disk-monitor-2026-06-19T113514Z
[2026-06-19T12:35:53Z] deleted kind=disk-monitor-dir kb=20 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/buy-48198-disk-monitor-2026-06-19T114015Z
[2026-06-19T12:35:53Z] deleted kind=disk-monitor-dir kb=20 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/buy-48198-disk-monitor-2026-06-19T114515Z
[2026-06-19T12:35:53Z] deleted kind=disk-monitor-dir kb=20 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/buy-48198-disk-monitor-2026-06-19T115016Z
[2026-06-19T12:35:53Z] deleted kind=disk-monitor-dir kb=20 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/buy-48198-disk-monitor-2026-06-19T115515Z
[2026-06-19T12:35:53Z] deleted kind=disk-monitor-dir kb=20 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/buy-48198-disk-monitor-2026-06-19T120018Z
[2026-06-19T12:35:53Z] deleted kind=disk-monitor-dir kb=20 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/buy-48198-disk-monitor-2026-06-19T120516Z
[2026-06-19T12:35:53Z] deleted kind=disk-monitor-dir kb=20 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/buy-48198-disk-monitor-2026-06-19T121016Z
[2026-06-19T12:35:53Z] deleted kind=disk-monitor-dir kb=20 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/buy-48198-disk-monitor-2026-06-19T121252Z
[2026-06-19T12:35:53Z] deleted kind=disk-monitor-dir kb=20 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/buy-48198-disk-monitor-2026-06-19T121515Z
[2026-06-19T12:35:53Z] deleted kind=disk-monitor-dir kb=20 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/buy-48198-disk-monitor-2026-06-19T122019Z
[2026-06-19T12:35:53Z] deleted kind=disk-monitor-dir kb=20 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/buy-48198-disk-monitor-2026-06-19T122516Z
[2026-06-19T12:35:53Z] summary removed=14 reclaimed_kb=280 report=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/reports/BUY-53565-safe-data-cleanup-report.txt
