[2026-06-19T12:50:47Z] starting apply=1 data_dir=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data keep_carousell=1 keep_monitor_dirs=2
[2026-06-19T12:50:47Z] carousell-snapshots total=37 keep=1
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=13700 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260503_140346.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=75200 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260503_140454.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=37612 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260514_160854.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=75208 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260514_161121.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=1008 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260514_163021.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=75208 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260514_200329.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=75200 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260515_000442.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=37104 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260515_040403.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=2692 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260515_040614.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=4752 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260515_040640.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=3364 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260515_040711.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=75196 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260515_040746.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=75196 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260515_081150.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=75212 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260515_121554.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=75200 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260515_161958.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=36932 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260515_200503.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=1012 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260515_200708.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=75212 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260515_200717.jsonl
