workspace	candidate_files	estimated_gb	log
0ed653ab-62ba-4deb-8348-3086ab46961c	0	0.00	reports/BUY-53723-0ed653ab-62ba-4deb-8348-3086ab46961c-dryrun.log
19dcd635-1d2b-4e41-9950-5865876e12b2	0	0.00	reports/BUY-53723-19dcd635-1d2b-4e41-9950-5865876e12b2-dryrun.log
2e68d8a0-9b0e-4573-8185-323edaabb186	12	0.00	reports/BUY-53723-2e68d8a0-9b0e-4573-8185-323edaabb186-dryrun.log
3ec8f6dd-1735-4479-9825-a2c42edac34c	5	0.19	reports/BUY-53723-3ec8f6dd-1735-4479-9825-a2c42edac34c-dryrun.log
4df23039-272b-4621-9d77-7cf9b7121242	2	0.00	reports/BUY-53723-4df23039-272b-4621-9d77-7cf9b7121242-dryrun.log
5bc984ee-e2d2-4312-9e6c-b2864524a21f	200	0.33	reports/BUY-53723-5bc984ee-e2d2-4312-9e6c-b2864524a21f-dryrun.log
708a8ce4-96dd-409d-94e7-a91d5032e4e0	66	0.41	reports/BUY-53723-708a8ce4-96dd-409d-94e7-a91d5032e4e0-dryrun.log
7fb55262-e658-45e2-88c0-b0e8ccc5ad6c	13	0.02	reports/BUY-53723-7fb55262-e658-45e2-88c0-b0e8ccc5ad6c-dryrun.log
a29ac9dc-cf0a-455b-964c-e75bd2f5fc47	62	0.94	reports/BUY-53723-a29ac9dc-cf0a-455b-964c-e75bd2f5fc47-dryrun.log
bf810416-2f4c-4c4b-b27c-1270ea6f20b3	0	0.00	reports/BUY-53723-bf810416-2f4c-4c4b-b27c-1270ea6f20b3-dryrun.log
c2850c54-3396-420a-b7c3-92faae3137c1	42	0.63	reports/BUY-53723-c2850c54-3396-420a-b7c3-92faae3137c1-dryrun.log
d70ff7b3-e26b-4d23-8e05-bfc5d6f7a342	0	0.00	reports/BUY-53723-d70ff7b3-e26b-4d23-8e05-bfc5d6f7a342-dryrun.log
f6a39f3c-210b-479b-a8e7-c78491c120e9	3	0.03	reports/BUY-53723-f6a39f3c-210b-479b-a8e7-c78491c120e9-dryrun.log
